LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C14663,CC0603KRX7R9BB104,YAGEO,"C33,C36,C50,C57,C59",0603,100nF ±10% 50V Ceramic Capacitor X7R 0603,YES,50,0.0151,0.76,,,
C60474,CC0402KRX7R7BB104,YAGEO,"C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C29,C37,C38,C39,C40,C41,",0402,100nF ±10% 16V Ceramic Capacitor X7R 0402,YES,100,0.0054,0.54,,,
C18305,BLM21PG600SN1D,muRata,"FB1,FB2,FB3,FB4,FB5",0805,60Ω@100MHz 1 Line Ferrite Bead 0805 3.5A 20mΩ,YES,20,0.0402,0.80,,,
C1972746,SF-0603S315-2,BOURNS,F1,0603,3.15A Surface Mount 0603,YES,2,0.5505,1.10,,,
C5588998,APTD2012LSYCK,Kingbright,"D14,D15",0805,Yellow 590nm LED Indication - Discrete 1.85V 0805,YES,5,0.2268,1.13,,,
C2837824,SMLMN2BCTT86C,ROHM,"D11,D12,D13",0805,Blue 476nm LED Indication - Discrete 2.9V 0805,YES,10,0.3083,3.08,,,
C2992528,SMLMN2WB1CW1,ROHM,"D7,D8,D9,D10",0805,White LED Indication - Discrete 2.9V 0805,YES,10,0.3253,3.25,,,
C110484,B320A-13-F,DIODES,D6,SMA(DO-214AC),1 Independent 20V 500mV@3A 3A SMA(DO-214AC) Single Diodes RoHS,YES,5,0.1615,0.81,,,
C2845139,RBR2MM30BTR,ROHM,"D4,D5",SOD-123FL,Diode Independent 30V 2A Surface Mount SOD-123FL,YES,5,0.1398,0.70,,,
C253526,RSX501LAM20TR,ROHM,D3,SOD-128,Diode 20V 5A Surface Mount SOD-128,YES,5,0.2183,1.09,,,
C85100,B560C-13-F,DIODES,D2,SMC(DO-214AB),1 Independent 60V 700mV@5A 5A SMC(DO-214AB) Single Diodes RoHS,YES,5,0.2117,1.06,,,
C261914,"1SS294,LF",TOSHIBA,D1,SC-59,Diode 40V 100mA Surface Mount SC-59,YES,10,0.0594,0.59,,,
C190722,16SVPC150M,PANASONIC,"C65,C68,C72,C73","SMD,D8xL6.9mm","150uF ±20% 16V Aluminum - Polymer Capacitors SMD,D8xL6.9mm 2000hrs@105℃",YES,8,1.1395,9.12,,,
C77042,GRM188R60J226MEA0D,muRata,"C58,C60,C61",0603,22uF ±20% 6.3V Ceramic Capacitor X5R 0603,YES,10,0.0572,0.57,,,
C60137,CC0402JRNPO9BN470,YAGEO,C53,0402,47pF ±5% 50V Ceramic Capacitor NP0 0402,YES,100,0.0028,0.28,,,
C23742,CL32A107MPVNNNE,Samsung Electro-Mechanics,"C54,C55",1210,100uF ±20% 10V Ceramic Capacitor X5R 1210,YES,4,0.5051,2.02,,,
C108081,RC1206JR-070RL,YAGEO,"R10,R11,R17,R26,R31",1206,0Ω 250mW 200V Thick Film Resistor ±5% 1206 Chip Resistor - Surface Mount RoHS,YES,50,0.0114,0.57,,,
C60133,CC0402KRX7R9BB103,YAGEO,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17",0402,10nF ±10% 50V Ceramic Capacitor X7R 0402,YES,100,0.0056,0.56,,,
C29936,CL10B105KA8NNNC,Samsung Electro-Mechanics,"C28,C62,C63,C66,C69,C74,C75",0603,1uF ±10% 25V Ceramic Capacitor X7R 0603,YES,20,0.0216,0.43,,,
C2191663,GJM1555C1H8R0DB01D,muRata,"C30,C31",0402,8pF C0G 50V 0402 Ceramic Capacitors RoHS,YES,50,0.0207,1.04,,,
C326595,CC0805KKX7R7BB106,YAGEO,"C32,C34,C64,C67,C70,C71",0805,10uF ±10% 16V Ceramic Capacitor X7R 0805,YES,15,0.2428,3.64,,,
C162437,GRM319R61E106KA12D,muRata,"C35,C51,C56",1206,10uF ±10% 25V Ceramic Capacitor X5R 1206,YES,10,0.239,2.39,,,
C342646,C3216X7R1V685KT000E,TDK,"C45,C46",1206,6.8uF ±10% 35V Ceramic Capacitor X7R 1206,YES,4,0.5643,2.26,,,
C128458,EEEFK1H220P,PANASONIC,C47,"SMD,D6.3xL5.8mm",22uF ±20% 50V Aluminum Electrolytic Capacitors 2000hrs@105℃,YES,5,0.1618,0.81,,,
