Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,17,0.01uF,C60133
"C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C29, C37, C38, C39, C40, C41, C42, C43, C44",0402,19,0.1uF,311-1338-1-ND
"C28, C62, C63, C66, C69, C74, C75",0603,7,1uF,C29936
"C30, C31",0402,2,8pF,C2191663
"C32, C34, C64, C67, C70, C71",0805,6,10uF,C326595
"C33, C36, C50, C57, C59",0603,5,0.1uF,311-1344-1-ND
"C35, C51, C56",1206,3,10uF,C162437
"C45, C46",1206,2,6.8uF,C342646
C47,CP_Elec_6.3x5.9,1,22uF,C128458
C48,CP_Elec_8x10.5,1,180uF,C494858
C49,1206,1,10nF,C106239
C52,0402,1,1.8nF,C107024
C53,0402,1,47pF,C60137
"C54, C55",1210,2,100uF,C23742
"C58, C60, C61",0603,3,22uF,C77042
"C65, C68, C72, C73",CP_Elec_8x6.9,4,150uF,C190722
D1,SC-59,1,"1SS294,LF",C261914
"D10, D7, D8, D9",0805,4,LED_0805_WHITE,C2992528
"D11, D12, D13",0805,3,LED_0805_BLUE,C2837824
"D14, D15",0805,2,LED_0805_YELLOW,C5588998
D2,D_SMC_Handsoldering,1,B560C-13-F,C85100
D3,D_SOD-128,1,RSX501LAM20TR,C253526
"D4, D5",D_SOD-123F,2,RBR2MM30BTR,C2845139
D6,D_SMA,1,B320A-13-F,C110484
F1,0603,1,32V/3.15A,C1972746
"FB1, FB2, FB3, FB4, FB5",Ferrite_0805_2012Metric_BigPads,5,BLM21PG600SN1D,C18305
J1,BUS_PCIexpress_x1,1,Bus_PCI_Express_x1,
"J2, J3, J4, J5",USB3_A_Molex_48406-0001_Horizontal_Stacked,4,0484050001,C6376748
L1,IND_BOURNS_SRU8043,1,3.9uH,C2045037
L2,IND_SPM6530T-1R0M120,1,1uH,C87572
L3,1008,1,1.5uH,C909806
Q1,SOT-323_SC-70,1,2SA1576AT106R,C111698
Q2,SOT-323_SC-70,1,2SC4081T106R,C111700
Q4,SO-8,1,DMT6016LSS-13,C151586
Q5,SO-8_3.9x4.9mm_P1.27mm,1,SI4134DY-T1-GE3,C142600
"R1, R12, R13, R14, R15",0603,5,0R,C95177
"R10, R11, R17, R26, R31",1206,5,0R,
"R16, R2, R23, R27, R28, R29, R3, R30, R40, R5, R6, R7",0603,12,10K,C159891
R18,0603,1,47K,C127447
R19,0402,1,11K,C1883521
R20,0402,1,17.4K,C481960
R21,0402,1,34.8K,C2076772
R22,0603,1,1M,C844922
"R24, R4",0603,2,100K,C14675
R25,0603,1,133K,C2076703
"R32, R33, R34, R35, R36, R37, R38, R39",0603,8,1K,C22548
R8,0402,1,1.6K,C413085
R9,0402,1,680R,C413078
"TP1, TP2, TP3",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,3,D0.5mm,
"TP4, TP5, TP6, TP7",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,4,TestPoint,
U1,QFN68_8X8_REN-M_Hand_Soldering,1,UPD720201K8-711-BAC-A,C355375
"U10, U11, U8, U9",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,4,AP2191SG-13,C2150698
"U12, U13, U14, U15",SON14_SP3011-06UTG_LTF-M,4,SP3011-06UTG,C207281
U2,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm_FLASH,1,MX25L4006EM1I-12G,C56001
U3,TO-263-7_TabPin8,1,LM22678TJ-5.0/NOPB,C527397
U4,TSOT-23-8,1,LTC3872ETS8-TRPBF,C459876
U5,SOT-563,1,RT5762CHGH6F,C5896722
U6,641737-1_TYC,1,641737-1,C706976
U7,SOT-89-3,1,AP7215-33YG-13,C460367
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,CS14522-24M,C20010545
