Designator,Mid X,Mid Y,Rotation,Layer
C1,86.2,-109.775,90.0,bottom
C10,89.13,-102.85,90.0,bottom
C11,94.8825,-106.77,0.0,bottom
C12,91.15,-109.75,270.0,bottom
C13,92.1,-102.85,90.0,bottom
C14,86.775,-107.275,0.0,bottom
C15,86.6,-104.45,0.0,bottom
C16,96.56,-103.38,180.0,top
C17,88.225,-109.75,270.0,bottom
C18,94.88,-104.79,180.0,bottom
C19,87.16,-101.65,90.0,bottom
C2,93.113377,-109.749531,270.0,bottom
C20,92.135777,-109.754873,90.0,bottom
C21,94.8825,-105.77,180.0,bottom
C22,86.0,-102.85,90.0,bottom
C23,93.1,-102.85,270.0,bottom
C24,96.56,-102.39,0.0,top
C25,89.2,-109.75,90.0,bottom
C26,102.898717,-133.448717,135.0,top
C27,103.548717,-132.798717,315.0,top
C28,97.37,-118.69,0.0,top
C29,105.25,-112.0,90.0,top
C3,86.775,-108.2,0.0,bottom
C30,100.04,-98.88,90.0,top
C31,104.11,-103.74,0.0,top
C32,97.34,-100.88,0.0,top
C33,110.93,-133.0475,90.0,top
C34,112.74,-132.8175,90.0,top
C35,89.2375,-134.4,180.0,top
C36,89.8,-132.42,180.0,top
C37,71.58,-126.199999,180.0,top
C38,71.58,-127.199999,0.0,top
C39,71.61,-102.823335,180.0,top
C4,86.775,-105.375,0.0,bottom
C40,71.61,-103.8,0.0,top
C41,71.58,-79.326665,180.0,top
C42,71.5785,-80.296665,0.0,top
C43,71.58,-56.0,180.0,top
C44,71.58,-57.0,0.0,top
C45,124.9,-62.9,270.0,top
C46,127.6,-62.9,270.0,top
C47,132.8,-65.3,90.0,top
C48,116.8,-47.2,0.0,top
C49,121.15,-53.5,0.0,top
C5,91.1,-102.85,90.0,bottom
C50,145.2,-75.2,0.0,top
C51,146.0625,-77.3,0.0,top
C52,124.95,-103.7,0.0,top
C53,124.5,-102.1,90.0,top
C54,125.2,-88.5,90.0,top
C55,128.5,-88.5,90.0,top
C56,127.8,-94.0625,90.0,top
C57,124.3,-94.8625,90.0,top
C58,128.8375,-116.6,180.0,top
C59,128.8375,-118.1,180.0,top
C6,88.15,-102.85,90.0,bottom
C60,130.8375,-124.5,90.0,top
C61,124.2375,-114.6,0.0,top
C62,142.35,-50.4,270.0,top
C63,142.35,-47.0,90.0,top
C64,61.1,-115.0,180.0,top
C65,68.775,-120.8,180.0,top
C66,104.7975,-53.05,180.0,top
C67,61.2,-91.6,180.0,top
C68,68.975,-97.2,180.0,top
C69,95.84,-53.1,180.0,top
C7,90.175,-109.75,270.0,bottom
C70,61.1,-68.4,180.0,top
C71,60.93,-45.0,180.0,top
C72,68.775,-73.8,180.0,top
C73,68.775,-50.6,180.0,top
C74,86.77,-53.05,180.0,top
C75,77.335,-53.125,180.0,top
C8,86.775,-106.325,0.0,bottom
C9,90.12,-102.85,90.0,bottom
D1,97.55,-114.29,90.0,top
D10,77.045,-43.625,180.0,top
D11,119.9375,-120.65,90.0,top
D12,131.65,-91.05,90.0,top
D13,138.25,-43.4,180.0,top
D14,129.0375,-114.7,0.0,top
D15,127.0,-67.9,0.0,top
D2,130.6,-56.9,0.0,top
D3,134.3,-46.3,90.0,top
D4,136.8,-77.4,180.0,top
